JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,Attrition,BusinessTravel,Department_1,Department_2,Department_3,DistanceFromHome,Education,EducationField_1,EducationField_2,EducationField_3,EducationField_4,EducationField_5,EducationField_6,Gender_1,Gender_2,JobLevel,JobRole_1,JobRole_2,JobRole_3,JobRole_4,JobRole_5,JobRole_6,JobRole_7,JobRole_8,JobRole_9,MaritalStatus_1,MaritalStatus_2,MaritalStatus_3,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
3,3,3.0,4.0,2.0,51,0,1,1,0,0,6,2,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,131160,1.0,11,0,1.0,6,1,0,0
2,4,3.0,2.0,4.0,31,1,2,0,1,0,10,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,41890,0.0,23,1,6.0,3,5,1,4
3,3,2.0,2.0,1.0,32,0,2,0,1,0,17,4,0,1,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,193280,1.0,15,3,5.0,2,5,0,3
2,3,4.0,4.0,3.0,38,0,0,0,1,0,2,5,1,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,1,0,0,83210,3.0,11,3,13.0,5,8,7,5
3,3,4.0,1.0,3.0,32,0,1,0,1,0,10,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,23420,4.0,12,2,9.0,2,6,0,4
3,3,3.0,2.0,2.0,46,0,1,0,1,0,8,3,1,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,1,0,0,40710,3.0,13,0,28.0,5,7,7,7
3,4,1.0,3.0,1.0,28,1,1,0,1,0,11,2,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,58130,2.0,20,1,5.0,2,0,0,0
3,4,1.0,2.0,3.0,29,0,1,0,1,0,18,3,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,31430,2.0,22,3,10.0,2,0,0,0
3,4,2.0,4.0,3.0,31,0,1,0,1,0,1,3,1,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,1,0,0,20440,0.0,21,0,10.0,2,9,7,8
3,3,2.0,1.0,3.0,25,0,0,0,1,0,7,4,0,0,1,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,1,134640,1.0,13,1,6.0,2,6,1,5
2,3,3.0,4.0,3.0,45,0,1,0,1,0,17,2,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,79910,0.0,13,2,21.0,2,20,4,10
3,3,4.0,1.0,3.0,55,0,1,0,1,0,14,4,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,55380,0.0,17,0,37.0,2,36,4,13
2,3,1.0,2.0,2.0,47,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,57620,1.0,11,2,10.0,4,10,9,9
3,3,4.0,4.0,2.0,28,0,1,0,1,0,1,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,25920,1.0,14,0,5.0,2,5,0,4
3,3,3.0,4.0,4.0,37,0,1,0,1,0,1,3,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,53460,4.0,11,0,7.0,2,5,0,1
2,3,4.0,3.0,4.0,21,0,1,0,1,0,3,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,42130,1.0,12,3,3.0,3,3,1,0
3,3,1.0,4.0,3.0,37,0,0,0,1,0,1,3,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,41270,2.0,13,1,15.0,2,5,0,2
2,3,2.0,2.0,2.0,35,0,1,1,0,0,7,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,24380,7.0,16,0,10.0,5,7,6,2
3,3,1.0,1.0,3.0,38,0,1,0,1,0,8,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,68700,1.0,11,1,8.0,5,8,7,7
3,3,3.0,2.0,1.0,26,0,2,0,1,0,1,4,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,104470,1.0,18,0,6.0,3,6,1,4
2,4,1.0,2.0,2.0,50,0,1,1,0,0,8,4,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,96670,3.0,23,0,28.0,2,10,1,6
3,3,3.0,3.0,2.0,53,0,1,0,1,0,11,4,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,21480,3.0,11,0,21.0,2,5,1,3
3,3,2.0,4.0,2.0,29,0,2,0,1,0,16,4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,65130,1.0,11,1,10.0,2,10,0,9
3,3,2.0,4.0,3.0,55,0,1,0,1,0,1,4,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,67990,3.0,11,0,12.0,2,10,0,8
