JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,BusinessTravel,Department_1,Department_2,Department_3,DistanceFromHome,Education,EducationField_1,EducationField_2,EducationField_3,EducationField_4,EducationField_5,EducationField_6,Gender_1,Gender_2,JobLevel,JobRole_1,JobRole_2,JobRole_3,JobRole_4,JobRole_5,JobRole_6,JobRole_7,JobRole_8,JobRole_9,MaritalStatus_1,MaritalStatus_2,MaritalStatus_3,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
2,3,2.0,2.0,3.0,51,2,0,1,0,20,3,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,148140,2.0,11,1,14.0,2,4,3,2,0
3,3,2.0,3.0,4.0,31,1,0,1,0,14,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,167560,1.0,11,2,6.0,5,5,0,3,0
3,3,3.0,3.0,3.0,52,1,0,1,0,2,4,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,35370,0.0,11,1,34.0,3,33,11,9,0
3,3,2.0,4.0,1.0,59,1,0,1,0,5,3,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,56740,3.0,12,0,14.0,6,6,0,4,0
3,3,4.0,1.0,2.0,42,1,0,1,0,5,3,0,0,1,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,1,0,0,53900,1.0,14,0,10.0,3,10,5,8,0
3,3,4.0,1.0,3.0,36,1,0,1,0,2,2,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,114160,6.0,16,0,13.0,2,5,0,4,0
3,3,1.0,2.0,3.0,35,1,0,0,1,3,4,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,32940,0.0,11,0,6.0,2,5,0,3,0
3,4,3.0,4.0,2.0,39,1,1,0,0,5,4,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,21050,0.0,20,0,19.0,3,18,3,7,0
3,3,2.0,4.0,4.0,45,1,0,1,0,1,2,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,184300,4.0,12,1,10.0,5,3,1,2,0
3,3,1.0,2.0,4.0,26,1,0,1,0,19,4,0,0,0,0,1,0,1,0,4,0,0,1,0,0,0,0,0,0,1,0,0,119940,1.0,14,1,6.0,6,5,1,4,0
3,3,3.0,4.0,3.0,35,2,0,1,0,6,4,0,0,1,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,61420,2.0,15,1,10.0,2,2,2,2,0
3,3,4.0,1.0,3.0,52,1,1,0,0,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,99800,3.0,11,1,18.0,2,10,6,9,0
3,4,1.0,4.0,3.0,24,2,0,1,0,15,3,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,54880,1.0,22,1,6.0,6,6,1,3,0
3,3,1.0,4.0,3.0,37,0,0,1,0,1,3,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,41270,2.0,13,1,15.0,2,5,0,2,0
2,3,1.0,2.0,3.0,22,1,0,1,0,16,5,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,29910,1.0,19,2,2.0,3,2,1,2,0
2,3,4.0,3.0,3.0,52,1,0,1,0,29,3,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,29420,8.0,11,1,9.0,1,5,1,4,0
2,3,3.0,3.0,4.0,41,1,0,1,0,1,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,1,25150,0.0,18,0,23.0,2,22,13,5,0
3,3,2.0,1.0,3.0,44,1,1,0,0,1,2,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,1,0,0,187110,2.0,12,1,10.0,0,2,2,2,0
3,3,4.0,1.0,3.0,29,1,0,1,0,3,4,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,55930,1.0,13,1,1.0,3,1,0,0,0
2,3,3.0,2.0,4.0,54,1,0,1,0,5,2,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,40140,2.0,19,1,16.0,4,9,7,1,0
2,3,3.0,1.0,2.0,41,1,1,0,0,29,3,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,52940,2.0,15,0,17.0,3,1,0,0,0
3,3,3.0,1.0,3.0,43,2,0,1,0,5,3,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,96990,8.0,19,1,18.0,3,8,0,1,0
4,4,4.0,4.0,1.0,40,0,0,1,0,28,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,167040,9.0,22,0,5.0,2,3,0,2,0
3,3,3.0,1.0,2.0,59,1,1,0,0,2,2,0,0,0,1,0,0,1,0,5,0,0,0,0,0,0,0,1,0,1,0,0,20660,4.0,12,1,12.0,3,1,0,0,0
4,3,4.0,4.0,2.0,22,0,0,1,0,8,3,1,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,1,108510,1.0,16,1,1.0,2,1,0,0,0
3,3,2.0,3.0,3.0,45,2,0,1,0,8,4,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,29940,4.0,18,1,12.0,2,4,0,3,0
3,3,3.0,2.0,3.0,51,1,1,0,0,18,2,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,1,77250,1.0,13,1,33.0,2,33,0,10,0
3,3,4.0,3.0,3.0,34,1,0,0,1,2,3,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,28180,1.0,13,1,10.0,2,10,8,6,0
3,3,2.0,3.0,3.0,29,1,0,1,0,8,3,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1,0,0,194310,1.0,11,0,10.0,3,10,0,7,0
3,3,2.0,1.0,4.0,23,1,1,0,0,13,3,0,0,0,1,0,0,0,1,5,0,0,1,0,0,0,0,0,0,1,0,0,42210,1.0,11,1,5.0,4,4,0,2,0
3,3,4.0,1.0,3.0,34,2,0,1,0,6,2,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,43060,0.0,11,0,14.0,2,13,4,9,0
2,3,4.0,1.0,3.0,50,1,0,1,0,2,2,0,0,1,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,1,43770,5.0,12,1,19.0,2,14,1,11,0
3,3,2.0,1.0,3.0,41,1,0,1,0,24,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,26610,7.0,14,1,22.0,2,18,11,8,0
3,4,4.0,4.0,3.0,25,1,0,1,0,26,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,88530,1.0,22,1,2.0,3,2,2,1,0
3,3,3.0,3.0,4.0,53,1,0,1,0,9,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,39200,6.0,16,1,22.0,3,17,15,2,0
1,4,1.0,4.0,3.0,42,1,0,1,0,3,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,10910,2.0,22,0,16.0,0,1,0,0,0
3,3,4.0,4.0,2.0,25,1,0,1,0,6,2,0,0,1,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,1,0,0,20450,3.0,19,0,7.0,3,3,1,2,0
2,3,3.0,1.0,3.0,35,1,0,0,1,3,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,63880,3.0,13,0,4.0,6,2,2,2,0
3,3,1.0,3.0,2.0,46,2,0,1,0,4,1,0,0,1,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,1,0,0,29110,5.0,13,0,28.0,3,2,1,2,0
